"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-10-17",211101,773,22320,7384,1553,37358,434755,107406760,965191,2553,1791,8028544,57330,3218561,56,129671139,1298729
"2020-10-16",210328,897,22202,7251,1861,37368,433202,106441569,970413,2547,1739,7971214,68248,3195422,56,128372410,1230928
"2020-10-15",209431,930,22051,7220,2009,37328,431341,105471156,851332,2531,1769,7902966,63392,3175500,56,127141482,1109379
"2020-10-14",208501,807,21889,7156,2523,37088,429332,104619824,621203,2516,1776,7839574,56117,3153746,56,126032103,1044858
"2020-10-13",207694,698,21735,7020,2115,36064,426809,103998621,859108,2485,1755,7783457,48593,3122531,56,124987245,1051833
"2020-10-12",206996,282,21625,6807,1223,35066,424694,103139513,883003,2464,1666,7734864,42643,3104644,56,123935412,1059571
"2020-10-11",206714,468,21553,6679,989,34498,423471,102256510,802087,2454,1646,7692221,46269,3072920,56,122875841,1078116
"2020-10-10",206246,681,21512,6683,1509,34600,422482,101454423,961626,2451,1667,7645952,57415,3061045,56,121797725,1251924
"2020-10-09",205565,898,21389,6713,1761,34877,420973,100492797,948164,2437,1655,7588537,56802,3037145,56,120545801,1203110
"2020-10-08",204667,985,21217,6621,2102,34319,419212,99544633,884627,2427,1638,7531735,55208,3019299,56,119342691,1156858
"2020-10-07",203682,925,21112,6507,2265,33482,417110,98660006,731556,2410,1646,7476527,50590,2997942,56,118185833,977469
"2020-10-06",202757,610,20973,6438,-605,32626,414845,97928450,716057,2388,1609,7425937,38917,2950348,56,117208364,913476
"2020-10-05",202147,344,20812,6209,1541,31327,415450,97212393,844249,2370,1515,7387020,37756,2933035,56,116294888,992215
"2020-10-04",201803,365,20729,5974,642,29945,413909,96368144,823151,2362,1485,7349264,37988,2909644,56,115302673,1028018
"2020-10-03",201438,740,20686,5996,1106,30111,413267,95544993,844987,2358,1501,7311276,50935,2895307,56,114274655,1098266
"2020-10-02",200698,847,20612,6106,1401,30769,412161,94700006,975206,2348,1533,7260341,49257,2871287,56,113176389,1241741
"2020-10-01",199851,858,20492,6173,1766,30809,410760,93724800,763591,2334,1547,7211084,45605,2858704,56,111934648,1006617
"2020-09-30",198993,1063,20390,6145,1582,30912,408994,92961209,676355,2319,1507,7165479,44347,2838664,56,110928031,909435
"2020-09-29",197930,737,20247,6106,1750,30499,407412,92284854,711277,2298,1495,7121132,36441,2811386,56,110018596,921475
"2020-09-28",197193,247,20121,5981,1258,29601,405662,91573577,912524,2285,1518,7084691,35883,2792677,56,109097121,1160560
"2020-09-27",196946,306,20050,6080,719,29443,404404,90661053,669506,2277,1511,7048808,34987,2764336,56,107936561,904386
"2020-09-26",196640,871,20002,6057,1169,29551,403685,89991547,886741,2272,1509,7013821,47403,2748595,56,107032175,1123112
"2020-09-25",195769,850,19919,6133,1352,29768,402516,89104806,876779,2264,1506,6966418,55189,2725475,56,105909063,1116019
"2020-09-24",194919,939,19555,6168,1571,30036,401164,88228027,802979,2177,1560,6911229,43346,2708310,56,104793044,1041369
"2020-09-23",193980,1154,19452,6113,1441,29937,399593,87425048,804138,2154,1544,6867883,38620,2670381,56,103751675,1013686
"2020-09-22",192826,864,19324,6111,1478,29448,398152,86620910,673794,2130,1562,6829263,49475,2645001,56,102737989,857487
"2020-09-21",191962,280,19353,6071,1160,28762,396674,85947116,636803,2116,1572,6779788,39139,2614069,56,101880502,773162
"2020-09-20",191682,323,19281,6015,507,28606,395514,85310313,788663,2112,1595,6740649,35503,2587314,56,101107340,977016
"2020-09-19",191359,747,19243,6070,1065,29038,395007,84521650,945717,2111,1577,6705146,44905,2575561,56,100130324,1175901
"2020-09-18",190612,900,19163,6175,1431,29521,393942,83575933,853088,2107,1608,6660241,47251,2556013,56,98954423,1093736
"2020-09-17",189712,880,19057,6278,1572,29875,392511,82722845,737534,2092,1658,6612990,43289,2538622,56,97860687,970386
"2020-09-16",188832,1178,18961,6308,1522,30253,390939,81985311,628661,2090,1651,6569701,40110,2523824,56,96890301,829307
"2020-09-15",187654,1045,18847,6310,1506,30361,389417,81356650,651693,2071,1572,6529591,34904,2493331,56,96060994,815060
"2020-09-14",186609,408,18748,6238,952,29907,387911,80704957,366735,2061,1507,6494687,33621,2476089,56,95245934,496717
"2020-09-13",186201,390,18692,6233,570,29804,386959,80338222,611968,2056,1562,6461066,34311,2448271,56,94749217,772316
"2020-09-12",185811,818,18648,6451,1077,30643,386389,79726254,809187,2051,1619,6426755,41866,2437110,56,93976901,997249
"2020-09-11",184993,1008,18549,6379,1552,31406,385312,78917067,724138,2031,1715,6384889,44683,2416126,56,92979652,924378
"2020-09-10",183985,1161,18453,6531,1537,32438,383760,78192929,576959,2008,1925,6340206,37304,2401781,56,92055274,783526
"2020-09-09",182824,1102,18322,6646,2066,32579,382223,77615970,552268,1994,1903,6302902,31170,2385790,56,91271748,702259
"2020-09-08",181722,352,18189,6542,977,32246,380157,77063702,483543,1975,1879,6271732,22137,2357307,56,90569489,577352
"2020-09-07",181370,226,18156,6630,490,32009,379180,76580159,558939,1967,1879,6249595,28143,2331821,56,89992137,664605
"2020-09-06",181144,447,18125,6700,499,32376,378690,76021220,700097,1960,1912,6221452,32921,2314245,56,89327532,827992
"2020-09-05",180697,921,18089,6766,1277,33502,378191,75321123,761731,1956,1956,6188531,44744,2300418,56,88499540,966594
"2020-09-04",179776,996,18012,6924,1238,34101,376914,74559392,849605,1943,1995,6143787,51508,2281748,56,87532946,1043734
"2020-09-03",178780,1076,17894,6921,1520,34650,375676,73709787,680074,1928,2042,6092279,44616,2265262,56,86489212,881140
"2020-09-02",177704,1026,17784,7087,1651,35579,374156,73029713,617107,1918,2024,6047663,30217,2230060,56,85608072,756867
"2020-09-01",176678,1022,17655,7090,1858,35273,372505,72412606,654343,1902,2042,6017446,42426,2201023,56,84851205,816090
"2020-08-31",175656,382,17537,7043,815,35352,370647,71758263,647087,1877,2077,5975020,31273,2183106,56,84035115,735472
"2020-08-30",175274,474,17439,7268,650,35726,369832,71111176,697391,1870,2055,5943747,39285,2152344,56,83299643,826703
"2020-08-29",174800,1008,17401,7413,1323,36437,369182,70413785,718010,1864,2062,5904462,43967,2139059,56,82472940,890451
"2020-08-28",173792,1026,17304,7558,1587,37255,367859,69695775,728048,1856,2086,5860495,46125,2116889,56,81582489,907113
"2020-08-27",172766,1124,17181,7717,1680,37421,366272,68967727,698668,1831,2125,5814370,43914,2099887,56,80675376,858792
"2020-08-26",171642,1305,17046,7737,1849,38418,364592,68269059,602319,1809,2142,5770456,43628,2083058,56,79816584,737977
"2020-08-25",170337,1140,16920,7863,2048,38775,362743,67666740,629114,1789,2163,5726828,36588,2052294,56,79078607,709581
"2020-08-24",169197,352,16787,7851,1055,38695,360695,67037626,639699,1764,2118,5690240,34250,2019310,56,78369026,722679
